date,close
2015-09-26,319.5475870368161
2015-09-27,321.71332458907006
2015-09-28,326.7134517065231
2015-09-29,332.78245390366124
2015-09-30,333.30667529717795
2015-10-01,342.1137439079342
2015-10-02,351.21037809491946
2015-10-03,355.6291352720619
2015-10-04,353.60392424523485
2015-10-05,355.59480284409295
2015-10-06,355.6979577066894
2015-10-07,363.0980475756717
2015-10-08,368.8728560093872
2015-10-09,377.11761393995863
2015-10-10,381.7587819221804
2015-10-11,389.23316861959506
2015-10-12,390.96887216010117
2015-10-13,399.9922709155616
2015-10-14,406.4860547743906
2015-10-15,409.8790350460817
2015-10-16,413.1210618614306
2015-10-17,410.73861883503605
2015-10-18,413.84425998764686
2015-10-19,426.6012217509418
2015-10-20,434.90658015681726
2015-10-21,441.09437046239935
2015-10-22,445.14317649051554
2015-10-23,456.0528273473032
2015-10-24,458.0355583962369
2015-10-25,462.60282315570043
2015-10-26,466.6568270904215
2015-10-27,475.38538049185746
2015-10-28,481.447247698761
2015-10-29,487.8441910781916
2015-10-30,498.19927959999546
2015-10-31,509.0428871959585
2015-11-01,518.3085301562714
2015-11-02,527.2401023187045
2015-11-03,540.8266543997803
2015-11-04,545.6808135286362
2015-11-05,549.8811594141165
2015-11-06,558.8544228073428
2015-11-07,573.662396827888
2015-11-08,582.7527067581536
2015-11-09,595.7569859835511
2015-11-10,605.4640193218717
2015-11-11,616.9871355976993
2015-11-12,624.6473254127213
2015-11-13,627.0899654288517
2015-11-14,637.7354249001883
2015-11-15,650.4530647412206
2015-11-16,652.6779163150176
2015-11-17,658.5649256824601
2015-11-18,665.2187373264951
2015-11-19,676.6169025025887
2015-11-20,681.693471124395
2015-11-21,695.1823442708982
2015-11-22,705.9092034314526
2015-11-23,713.35704679439
2015-11-24,724.4131372323047
2015-11-25,734.8226815281348
2015-11-26,746.6012123381687
2015-11-27,757.3153897128536
2015-11-28,775.115936125377
2015-11-29,783.9202770801629
2015-11-30,800.5197516200516
2015-12-01,812.0905016663737
